Наименование товара;Цена;Фото;Ссылка
Кошики для направляючих, ширина 435мм;11,60 €;https://a-c.com.ua/img/shop/ws1622817287.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korziny_dlya_krepleniya_k_napravlyayuschej/183-korziny_dlya_napravlyayuschih_shirina_435mm.html
Заглушка на центр. кронштейн;2,47 €;https://a-c.com.ua/img/shop/ws1601039190.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/173-zaglushka_na_centr_kronshtejn.html
Полка-міні;10,80 €;https://a-c.com.ua/img/shop/ws1601047145.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/provolochnye_polki_i_polki_korziny/150-polka_mini.html
Висувний вішак  під сітчату полицю;12,79 €;https://a-c.com.ua/img/shop/ws1625303107.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/137-visuvnij_v_shak_p_d_s_tchatu_policyu.html
Полиця наклонна;38,22 €;https://a-c.com.ua/img/shop/ws1561377038.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/provolochnye_polki_i_polki_korziny/136-policya_p_d_nah_lom.html
Боковина кронштейна для труби без полиці;3,75 €;https://a-c.com.ua/img/shop/ws1561371816.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/135-bokovina_kronshtejna_dlya_truby_bez_polki.html
Меш-кошики на направляючі;15,79 €;https://a-c.com.ua/img/shop/ws1625322503.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korziny_dlya_krepleniya_k_napravlyayuschej/134-mesh_korziny_nastennye.html
Мульті-розділювач для кошиків;13,12 €;https://a-c.com.ua/img/shop/ws1625303316.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/133-multi_razdelitel_dlya_korzin.html
Декоративна вставка в направляючі;15,43 €;https://a-c.com.ua/img/shop/ws1625404207.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/navesnaya_sistema/132-dekorativna_vstavka_v_napravlyayuch.html
Висувна меш-полиця для взуття, ширина 600мм та 450мм;46,72 €;https://a-c.com.ua/img/shop/ws1552500328.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/polki_dlya_obuvi_bryuk/131-vydvizhnaya_mesh_polka_dlya_obuvi_shirina_600mm_i_450mm.html
Вішак для галстуків, ременів;40,13 €;https://a-c.com.ua/img/shop/ws1625313806.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/130-veshalka_dlya_galstukov_new.html
Тримач етикеток;2,54 €;https://a-c.com.ua/img/shop/ws1520265037.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_stellazhej/129-derzhatel_etiketok.html
Кронштейн під нахилом;3,95 €;https://a-c.com.ua/img/shop/ws1520262275.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/128-kronshtejn_naklonnyj.html
Висувний mesh-кошик, глибина 350 мм;59,93 €;https://a-c.com.ua/img/shop/ws1632134592.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korzina_mesh_melkosetchataya/126-visuvnij_mesh_koshik_glibina_350_mm.html
Роздільник для меш-кошика 2шт.;12,15 €;https://a-c.com.ua/img/shop/ws1501593744.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/125-razdelitel_dlya_mesh_korziny_2sht.html
Декор вставка в рельс;2,32 €;https://a-c.com.ua/img/shop/ws1633510634.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/navesnaya_sistema/119-dekorativnaya_vstavka_v_rels.html
Висувна полиця для взуття з каблуком, ширина 450 та 600мм;34,83 €;https://a-c.com.ua/img/shop/ws1444850234.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/polki_dlya_obuvi_bryuk/118-visuvna_policya_dlya_vzuttya_z_kablukom_shirina_450_ta_600mm.html
Кошик для паперових рушників, ширина 435мм;11,94 €;https://a-c.com.ua/img/shop/ws1444847976.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korziny_dlya_krepleniya_k_napravlyayuschej/117-koshik_dlya_paperovih_rushnik_v_shirina_435mm.html
Висувний кошик велика сітка,глибина 430 мм;38,06 €;https://a-c.com.ua/img/shop/ws1625318042.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korziny/99-visuvnij_koshik_velika_s_tka_glibina_430_mm.html
Підвісний вішак під сітчату полицю;14,14 €;https://a-c.com.ua/img/shop/ws1625303561.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/98-podvesnaya_veshalka_pod_polku.html
Боковий лоток для кронштейну 40см;11,83 €;https://a-c.com.ua/img/shop/ws1444830463.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/97-bokovoj_lotok_dlya_kronshtejna_40sm.html
Боковий лоток для кронштейну 30см;11,02 €;https://a-c.com.ua/img/shop/ws1444830496.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/96-bokovoj_lotok_dlya_kronshtejna_30sm.html
Боковина кронштейну з 5 крючками;8,47 €;https://a-c.com.ua/img/shop/ws1625314353.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/93-bokovina_kronshejna_s_5_kryuchkami.html
Боковина кронштейну з 4 крючками;7,47 €;https://a-c.com.ua/img/shop/ws1625314470.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/92-bokovina_kronshejna_s_4_kryuchkami.html
Гачок на двері для направляючої;6,97 €;https://a-c.com.ua/img/shop/ws1445240524.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/91-kryuchok_na_dver_dlya_napravlyayuschej.html
Торцева пробка для штанги 2шт;0,02 €;https://a-c.com.ua/img/shop/ws1351039095.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/shtangi_dlya_veshalok_i_aksessuary/89-torcevaya_probka_dlya_shtangi_2sht.html
Підвіска для штанги;2,85 €;https://a-c.com.ua/img/shop/ws1445006266.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/shtangi_dlya_veshalok_i_aksessuary/88-podveska_dlya_shtangi.html
Штанги для вішаків та аксесуарів;4,03 €;https://a-c.com.ua/img/shop/ws1445006598.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/shtangi_dlya_veshalok_i_aksessuary/87-shtangi_dlya_veshalok_i_aksessuary.html
Тримач штанги;10,28 €;https://a-c.com.ua/img/shop/ws1445002192.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_stellazhej/86-derzhatel_shtangi_stellazh_stellazh_2sht.html
